time_sec,source,valid,manual_enabled,left_target_wrist_x,left_target_wrist_y,left_target_wrist_z,right_target_wrist_x,right_target_wrist_y,right_target_wrist_z,left_target_elbow_x,left_target_elbow_y,left_target_elbow_z,right_target_elbow_x,right_target_elbow_y,right_target_elbow_z,left_ik_loss,right_ik_loss,left_workspace_projected,right_workspace_projected,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778075184.001704,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.278353,-0.387701,-0.203572,-0.150701,-0.518067,-0.102827,0.174626,-0.224019,-0.038118,-0.108235,-0.311443,0.002293,0.003290,1,0,0.000000,0.000000,0.000000,0.787080,-1.029774,-0.371476,0.400657,-0.844972,-1.145705,0.154031,0.196172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.033481,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.304935,-0.379119,-0.198822,-0.153301,-0.519258,-0.093579,0.187273,-0.224986,-0.036223,-0.113447,-0.309524,0.002025,0.003295,1,0,0.000000,0.000000,0.000000,0.762986,-1.007280,-0.355599,0.409046,-0.847918,-1.146650,0.151916,0.170215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.065680,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.317277,-0.361121,-0.198070,-0.158881,-0.513945,-0.085303,0.192102,-0.217601,-0.028169,-0.116963,-0.302413,0.002255,0.003627,1,0,0.000000,0.000000,0.000000,0.739448,-0.983881,-0.341273,0.418426,-0.846122,-1.147387,0.148877,0.150852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.103112,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.319305,-0.345147,-0.215272,-0.161891,-0.504380,-0.086300,0.198305,-0.207205,-0.033648,-0.118556,-0.293562,0.002852,0.003485,1,0,0.000000,0.000000,0.000000,0.719826,-0.961435,-0.329565,0.429143,-0.847421,-1.147809,0.145987,0.144350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.134534,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.323378,-0.336589,-0.203342,-0.165875,-0.509441,-0.096771,0.211100,-0.206349,-0.029290,-0.118378,-0.298371,0.003182,0.003411,1,0,0.000000,0.000000,0.000000,0.703311,-0.940593,-0.320136,0.439274,-0.843881,-1.148291,0.142675,0.138966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.171936,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.339803,-0.332026,-0.201511,-0.201972,-0.500470,-0.092501,0.211845,-0.202833,-0.029946,-0.127737,-0.291218,0.002634,0.002903,1,0,0.000000,0.000000,0.000000,0.685916,-0.920720,-0.311587,0.447687,-0.825224,-1.145355,0.137601,0.141670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.202675,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.355876,-0.311351,-0.260138,-0.199058,-0.470236,-0.101623,0.219643,-0.193396,-0.057948,-0.133143,-0.276553,0.002530,0.002955,1,0,0.000000,0.000000,0.000000,0.668479,-0.896768,-0.303439,0.456324,-0.827161,-1.130206,0.136274,0.157613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.238330,ik_wrist_pelvis_body_frame,1,0,-0.293844,0.377945,-0.321145,-0.197838,-0.207305,-0.503319,-0.078472,0.222033,-0.194824,-0.030731,-0.121253,-0.289151,0.002281,0.002376,0,0,0.000000,0.000000,0.000000,0.646488,-0.877420,-0.295548,0.459712,-0.809015,-1.134561,0.131807,0.165978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.266172,ik_wrist_pelvis_body_frame,1,0,-0.285902,0.395115,-0.313873,-0.212371,-0.212871,-0.491314,-0.079704,0.225459,-0.191074,-0.034926,-0.122312,-0.283585,0.001928,0.002076,0,0,0.000000,0.000000,0.000000,0.622979,-0.857501,-0.287848,0.460374,-0.792009,-1.135673,0.127905,0.179440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.304526,ik_wrist_pelvis_body_frame,1,0,-0.275570,0.397610,-0.319949,-0.204418,-0.237704,-0.485615,-0.082987,0.229385,-0.193232,-0.031435,-0.127156,-0.281618,0.001838,0.001883,1,0,0.000000,0.000000,0.000000,0.601085,-0.842150,-0.280922,0.456471,-0.766500,-1.133948,0.122644,0.195565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.335084,ik_wrist_pelvis_body_frame,1,0,-0.280706,0.394188,-0.319719,-0.179746,-0.255639,-0.488610,-0.082266,0.232265,-0.195599,-0.028506,-0.140454,-0.284790,0.002015,0.001813,1,1,0.000000,0.000000,0.000000,0.586190,-0.829114,-0.276100,0.451085,-0.728175,-1.133192,0.115142,0.209370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.364628,ik_wrist_pelvis_body_frame,1,0,-0.262624,0.399448,-0.328435,-0.170123,-0.287361,-0.474217,-0.090179,0.230108,-0.201151,-0.023838,-0.145697,-0.288488,0.001541,0.001707,1,1,0.000000,0.000000,0.000000,0.569180,-0.820408,-0.270290,0.441878,-0.680969,-1.126320,0.106200,0.225781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.405843,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.375509,-0.320677,-0.139853,-0.315824,-0.465936,-0.111465,0.219649,-0.194415,-0.027049,-0.172726,-0.285350,0.001611,0.001779,1,1,0.000000,0.000000,0.000000,0.574113,-0.810863,-0.268505,0.435124,-0.621089,-1.114912,0.094918,0.240054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.433177,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.331126,-0.351361,-0.161975,-0.323252,-0.453511,-0.119772,0.220933,-0.202563,-0.049311,-0.193792,-0.283471,0.002926,0.002048,1,1,0.000000,0.000000,0.000000,0.590728,-0.815129,-0.269585,0.422644,-0.578556,-1.097917,0.087857,0.252106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.467091,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.313058,-0.363143,-0.159855,-0.329886,-0.449468,-0.124604,0.215662,-0.206144,-0.055897,-0.213667,-0.284989,0.003137,0.002917,1,1,0.000000,0.000000,0.000000,0.610485,-0.822987,-0.271082,0.408139,-0.543720,-1.079942,0.082795,0.258720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.500508,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.279710,-0.379036,-0.124386,-0.338533,-0.454229,-0.134019,0.215208,-0.213091,-0.025252,-0.217756,-0.292162,0.004497,0.003479,1,1,0.000000,0.000000,0.000000,0.636989,-0.836230,-0.273928,0.391282,-0.497787,-1.066693,0.076377,0.259245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.536773,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.273000,-0.383784,-0.110075,-0.341125,-0.455979,-0.129314,0.211540,-0.219074,-0.022335,-0.225796,-0.293011,0.004322,0.003711,1,1,0.000000,0.000000,0.000000,0.661120,-0.848374,-0.276051,0.375053,-0.452020,-1.054983,0.070576,0.255248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.567742,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.257028,-0.393047,-0.095951,-0.362019,-0.442872,-0.130853,0.201409,-0.227632,-0.012993,-0.237660,-0.294958,0.004210,0.004166,1,1,0.000000,0.000000,0.000000,0.686258,-0.862267,-0.277946,0.359586,-0.405006,-1.038231,0.065149,0.251427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.602501,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.238359,-0.428030,-0.093921,-0.363493,-0.442099,-0.121797,0.197556,-0.237739,-0.010171,-0.243781,-0.302045,0.003917,0.004822,1,1,0.000000,0.000000,0.000000,0.712773,-0.882689,-0.280092,0.340820,-0.365243,-1.023298,0.061470,0.245756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.639014,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.223667,-0.432548,-0.108881,-0.326865,-0.466588,-0.121389,0.194411,-0.241279,-0.010489,-0.236695,-0.327099,0.004196,0.006680,1,1,0.000000,0.000000,0.000000,0.739863,-0.901326,-0.282042,0.323273,-0.344352,-1.022464,0.061209,0.233699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.667927,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.209042,-0.442941,-0.127857,-0.296880,-0.481576,-0.118827,0.185092,-0.248033,-0.019762,-0.224787,-0.335244,0.003948,0.006960,1,1,0.000000,0.000000,0.000000,0.767755,-0.920100,-0.283729,0.306972,-0.343297,-1.029257,0.063896,0.218811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.700919,ik_wrist_pelvis_body_frame,1,0,-0.295325,0.211977,-0.450938,-0.139345,-0.278770,-0.487544,-0.112421,0.176121,-0.252880,-0.024501,-0.211644,-0.340972,0.003143,0.006768,0,0,0.000000,0.000000,0.000000,0.788838,-0.936923,-0.283564,0.291911,-0.354561,-1.038855,0.068098,0.204684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.735327,ik_wrist_pelvis_body_frame,1,0,-0.297818,0.214622,-0.448280,-0.140588,-0.273618,-0.491699,-0.106787,0.171913,-0.245348,-0.024674,-0.206831,-0.327920,0.002893,0.005586,0,1,0.000000,0.000000,0.000000,0.805160,-0.948778,-0.282000,0.280090,-0.367937,-1.047327,0.072331,0.191617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.770008,ik_wrist_pelvis_body_frame,1,0,-0.294458,0.220797,-0.448267,-0.137975,-0.245038,-0.507267,-0.102280,0.170044,-0.247618,-0.021516,-0.186988,-0.328689,0.002657,0.004956,1,1,0.000000,0.000000,0.000000,0.814894,-0.957874,-0.278890,0.270447,-0.384596,-1.063032,0.076497,0.176437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.802770,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.215408,-0.437613,-0.144261,-0.253604,-0.499678,-0.103842,0.168023,-0.244754,-0.023454,-0.195314,-0.322722,0.002922,0.005071,1,0,0.000000,0.000000,0.000000,0.825683,-0.963346,-0.275724,0.265390,-0.400197,-1.071020,0.080156,0.165169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.834946,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.213710,-0.420671,-0.139505,-0.272989,-0.485111,-0.103746,0.169332,-0.246971,-0.017551,-0.218331,-0.315079,0.003695,0.006212,1,0,0.000000,0.000000,0.000000,0.834884,-0.965861,-0.272342,0.265799,-0.405561,-1.069264,0.082599,0.156868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.875155,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.210097,-0.422586,-0.166795,-0.283612,-0.459621,-0.102791,0.166418,-0.254707,-0.020516,-0.221010,-0.312431,0.003616,0.007046,1,0,0.000000,0.000000,0.000000,0.843320,-0.970489,-0.269108,0.269193,-0.417491,-1.058906,0.086041,0.155732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.901824,ik_wrist_pelvis_body_frame,1,0,-0.300000,0.208667,-0.434476,-0.164037,-0.284331,-0.460586,-0.094140,0.160530,-0.259086,-0.019601,-0.221598,-0.314316,0.003050,0.007047,1,0,0.000000,0.000000,0.000000,0.850228,-0.978699,-0.265978,0.273802,-0.426918,-1.051229,0.089470,0.155643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.935904,ik_wrist_pelvis_body_frame,1,0,-0.289638,0.223025,-0.441678,-0.190108,-0.344986,-0.400730,-0.083891,0.166910,-0.258088,-0.025883,-0.229903,-0.289821,0.003000,0.006143,0,0,0.000000,0.000000,0.000000,0.846667,-0.987077,-0.261310,0.277842,-0.432006,-1.021044,0.092905,0.171999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075184.968687,ik_wrist_pelvis_body_frame,1,0,-0.267677,0.215864,-0.459664,-0.211863,-0.358032,-0.370499,-0.074455,0.167173,-0.259717,-0.032453,-0.232300,-0.273788,0.003243,0.005702,0,0,0.000000,0.000000,0.000000,0.838103,-1.002027,-0.256359,0.277566,-0.441179,-0.988211,0.098120,0.196576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075185.000769,ik_wrist_pelvis_body_frame,1,0,-0.255103,0.203505,-0.463736,-0.235545,-0.327874,-0.378070,-0.060261,0.168965,-0.260971,-0.042006,-0.229646,-0.271935,0.004286,0.006393,0,0,0.000000,0.000000,0.000000,0.829809,-1.019825,-0.252340,0.276692,-0.464130,-0.969062,0.107262,0.220605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075185.032339,ik_wrist_pelvis_body_frame,1,0,-0.243307,0.162245,-0.480120,-0.244877,-0.295564,-0.391584,-0.060767,0.164553,-0.265871,-0.048995,-0.228705,-0.280077,0.005524,0.007567,0,0,0.000000,0.000000,0.000000,0.834257,-1.046301,-0.251951,0.273750,-0.494793,-0.963938,0.119352,0.242128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
