time_sec,source,valid,manual_enabled,is_calibrated,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778065027.261762,manual_slider,1,1,0,0.000000,0.000000,0.000000,0.000000,-0.436000,0.000000,0.198000,0.000000,0.000000,0.000000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778065027.311443,manual_slider,1,1,0,0.000000,0.000000,0.000000,0.000000,-0.508000,0.000000,0.198000,0.000000,0.000000,0.000000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778065027.361851,manual_slider,1,1,0,0.000000,0.000000,0.000000,0.000000,-0.592000,0.000000,0.198000,0.000000,0.000000,0.000000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778065027.411164,manual_slider,1,1,0,0.000000,0.000000,0.000000,0.000000,-0.712000,0.000000,0.198000,0.000000,0.000000,0.000000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778065027.463192,manual_slider,1,1,0,0.000000,0.000000,0.000000,0.000000,-0.936000,0.000000,0.198000,0.000000,0.000000,0.000000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778065027.511083,manual_slider,1,1,0,0.000000,0.000000,0.000000,0.000000,-1.020000,0.000000,0.198000,0.000000,0.000000,0.000000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778065027.561415,manual_slider,1,1,0,0.000000,0.000000,0.000000,0.000000,-1.020000,0.000000,0.198000,0.000000,0.000000,0.000000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778065027.611623,manual_slider,1,1,0,0.000000,0.000000,0.000000,0.000000,-1.040000,0.000000,0.198000,0.000000,0.000000,0.000000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778065027.661727,manual_slider,1,1,0,0.000000,0.000000,0.000000,0.000000,-1.020000,0.000000,0.198000,0.000000,0.000000,0.000000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778065027.711587,manual_slider,1,1,0,0.000000,0.000000,0.000000,0.000000,-0.936000,0.000000,0.198000,0.000000,0.000000,0.000000,0.198000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
